"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"55639","*****","0500000US01001","Autauga County, Alabama"
"218289","*****","0500000US01003","Baldwin County, Alabama"
"25026","*****","0500000US01005","Barbour County, Alabama"
"22374","*****","0500000US01007","Bibb County, Alabama"
"57755","*****","0500000US01009","Blount County, Alabama"
"10173","*****","0500000US01011","Bullock County, Alabama"
"19726","*****","0500000US01013","Butler County, Alabama"
"114324","*****","0500000US01015","Calhoun County, Alabama"
"33427","*****","0500000US01017","Chambers County, Alabama"
"26035","*****","0500000US01019","Cherokee County, Alabama"
"44147","*****","0500000US01021","Chilton County, Alabama"
"12755","*****","0500000US01023","Choctaw County, Alabama"
"23866","*****","0500000US01025","Clarke County, Alabama"
"13285","*****","0500000US01027","Clay County, Alabama"
"14952","*****","0500000US01029","Cleburne County, Alabama"
"52238","*****","0500000US01031","Coffee County, Alabama"
"54957","*****","0500000US01033","Colbert County, Alabama"
"12219","*****","0500000US01035","Conecuh County, Alabama"
"10696","*****","0500000US01037","Coosa County, Alabama"
"37096","*****","0500000US01039","Covington County, Alabama"
"13826","*****","0500000US01041","Crenshaw County, Alabama"
"83345","*****","0500000US01043","Cullman County, Alabama"
"49293","*****","0500000US01045","Dale County, Alabama"
"38184","*****","0500000US01047","Dallas County, Alabama"
"71430","*****","0500000US01049","DeKalb County, Alabama"
"81526","*****","0500000US01051","Elmore County, Alabama"
"36775","*****","0500000US01053","Escambia County, Alabama"
"102721","*****","0500000US01055","Etowah County, Alabama"
"16406","*****","0500000US01057","Fayette County, Alabama"
"31587","*****","0500000US01059","Franklin County, Alabama"
"26383","*****","0500000US01061","Geneva County, Alabama"
"8221","*****","0500000US01063","Greene County, Alabama"
"14754","*****","0500000US01065","Hale County, Alabama"
"17123","*****","0500000US01067","Henry County, Alabama"
"105319","*****","0500000US01069","Houston County, Alabama"
"51765","*****","0500000US01071","Jackson County, Alabama"
"658615","265","0500000US01073","Jefferson County, Alabama"
"13854","*****","0500000US01075","Lamar County, Alabama"
"92870","*****","0500000US01077","Lauderdale County, Alabama"
"32969","*****","0500000US01079","Lawrence County, Alabama"
"163461","*****","0500000US01081","Lee County, Alabama"
"96921","*****","0500000US01083","Limestone County, Alabama"
"9936","*****","0500000US01085","Lowndes County, Alabama"
"18437","*****","0500000US01087","Macon County, Alabama"
"367686","*****","0500000US01089","Madison County, Alabama"
"19138","*****","0500000US01091","Marengo County, Alabama"
